"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"3V3","1","3.3","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","~"
"ADC1","1","Screw_Terminal_01x02","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","~"
"AECÂ±5V1","1","5","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","~"
"C1,C4","2","0.1uf","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"C2,C5","2","1uf","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"C3","1","1nf","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~"
"D1,D2","2","BAT54J","","","","Diode_SMD:D_SOD-323F","https://assets.nexperia.com/documents/data-sheet/BAT54J.pdf"
"R1","1","33k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R2","1","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R3","1","33k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R5,R6,R8","3","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R7","1","100","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"U1","1","TLV9061xDBV","","","","Package_TO_SOT_SMD:SOT-23-5","https://www.ti.com/lit/ds/symlink/tlv9061.pdf"
